初期都市,移動距離,最短距離=>240 (初期位置：3789)
0,447,
1,300,
2,366,
3,359,
4,513,
5,453,
6,325,
7,454,
8,447,
9,372,
10,366,
11,409,
12,295,
13,342,
14,361,
15,417,
16,439,
17,484,
18,417,
19,385,
20,406,
21,328,
22,467,
23,400,
24,385,
25,470,
26,416,
27,331,
28,396,
29,436,
30,475,
31,442,
32,396,
33,380,
34,465,
35,468,
36,405,
37,342,
38,492,
39,398,
40,400,
41,430,
42,525,
43,450,
44,458,
45,332,
46,437,
47,456,
48,373,
49,418,
50,339,
51,398,
52,472,
53,422,
54,381,
55,397,
56,417,
57,349,
58,348,
59,309,
60,432,
61,341,
62,472,
63,424,
64,336,
65,410,
66,560,
67,384,
68,347,
69,336,
70,349,
71,377,
72,445,
73,396,
74,388,
75,406,
76,337,
77,409,
78,301,
79,333,
80,383,
81,417,
82,524,
83,448,
84,464,
85,397,
86,405,
87,380,
88,374,
89,391,
90,380,
91,392,
92,444,
93,437,
94,362,
95,287,
96,342,
97,377,
98,389,
99,370,
100,423,
101,424,
102,401,
103,374,
104,468,
105,446,
106,310,
107,486,
108,461,
109,505,
110,335,
111,429,
112,360,
113,316,
114,411,
115,354,
116,425,
117,321,
118,406,
119,453,
120,446,
121,509,
122,296,
123,411,
124,392,
125,456,
126,365,
127,355,
128,399,
129,318,
130,437,
131,457,
132,406,
133,456,
134,444,
135,421,
136,269,
137,373,
138,468,
139,322,
140,480,
141,365,
142,413,
143,327,
144,427,
145,333,
146,348,
147,431,
148,433,
149,360,
150,435,
151,464,
152,462,
153,360,
154,469,
155,293,
156,516,
157,426,
158,492,
159,409,
160,466,
161,517,
162,419,
163,383,
164,423,
165,466,
166,374,
167,467,
168,322,
169,460,
170,423,
171,329,
172,386,
173,434,
174,409,
175,514,
176,436,
177,380,
178,374,
179,440,
180,439,
181,386,
182,317,
183,453,
184,466,
185,341,
186,453,
187,341,
188,383,
189,369,
190,484,
191,398,
192,451,
193,367,
194,337,
195,402,
196,393,
197,325,
198,434,
199,418,
200,450,
201,384,
202,475,
203,490,
204,455,
205,378,
206,312,
207,381,
208,441,
209,293,
210,498,
211,377,
212,434,
213,364,
214,422,
215,361,
216,406,
217,405,
218,324,
219,373,
220,388,
221,432,
222,380,
223,356,
224,344,
225,399,
226,415,
227,388,
228,350,
229,372,
230,447,
231,406,
232,383,
233,475,
234,405,
235,405,
236,326,
237,414,
238,423,
239,310,
240,447,
241,376,
242,384,
243,354,
244,499,
245,481,
246,429,
247,366,
248,339,
249,465,
250,394,
251,466,
252,433,
253,363,
254,470,
255,450,
256,416,
257,340,
258,433,
259,410,
260,417,
261,281,
262,427,
263,341,
264,470,
265,426,
266,329,
267,416,
268,326,
269,440,
270,384,
271,327,
272,400,
273,426,
274,549,
275,328,
276,297,
277,269,
278,318,
279,499,
280,355,
281,369,
282,448,
283,293,
284,437,
285,321,
286,492,
287,558,
288,433,
289,421,
290,418,
291,533,
292,362,
293,413,
294,466,
295,378,
296,435,
297,445,
298,427,
299,471,
300,509,
301,417,
302,410,
303,430,
304,408,
305,391,
306,497,
307,422,
308,553,
309,365,
310,523,
311,369,
312,505,
313,412,
314,418,
315,450,
316,394,
317,380,
318,375,
319,431,
320,478,
321,401,
322,440,
323,317,
324,429,
325,313,
326,415,
327,416,
328,384,
329,301,
330,400,
331,496,
332,478,
333,462,
334,353,
335,310,
336,380,
337,448,
338,395,
339,407,
340,405,
341,366,
342,378,
343,390,
344,398,
345,474,
346,385,
347,371,
348,370,
349,455,
350,427,
351,333,
352,360,
353,411,
354,395,
355,371,
356,334,
357,365,
358,446,
359,355,
360,403,
361,334,
362,403,
363,461,
364,531,
365,277,
366,442,
367,419,
368,372,
369,411,
370,350,
371,374,
372,316,
373,434,
374,484,
375,333,
376,387,
377,397,
378,369,
379,303,
380,417,
381,363,
382,393,
383,300,
384,387,
385,308,
386,331,
387,464,
388,451,
389,346,
390,384,
391,470,
392,474,
393,432,
394,460,
395,307,
396,327,
397,469,
398,490,
399,344,
400,342,
401,393,
402,444,
403,489,
404,461,
405,436,
406,430,
407,415,
408,375,
409,542,
410,464,
411,420,
412,349,
413,435,
414,361,
415,358,
416,364,
417,449,
418,494,
419,400,
420,316,
421,411,
422,436,
423,504,
424,489,
425,383,
426,434,
427,400,
428,502,
429,427,
430,487,
431,381,
432,389,
433,440,
434,359,
435,446,
436,321,
437,324,
438,446,
439,409,
440,349,
441,456,
442,365,
443,487,
444,414,
445,351,
446,502,
447,414,
448,399,
449,411,
450,337,
451,353,
452,421,
453,295,
454,369,
455,327,
456,334,
457,451,
458,376,
459,375,
460,463,
461,396,
462,425,
463,495,
464,364,
465,391,
466,306,
467,387,
468,432,
469,389,
470,472,
471,539,
472,348,
473,386,
474,377,
475,354,
476,367,
477,438,
478,466,
479,388,
480,392,
481,420,
482,580,
483,479,
484,410,
485,417,
486,530,
487,410,
488,517,
489,429,
490,369,
491,382,
492,401,
493,382,
494,379,
495,389,
496,338,
497,460,
498,529,
499,440,
500,420,
501,455,
502,495,
503,447,
504,288,
505,318,
506,405,
507,422,
508,319,
509,508,
510,421,
511,353,
512,414,
513,418,
514,357,
515,480,
516,442,
517,341,
518,408,
519,314,
520,370,
521,493,
522,435,
523,450,
524,456,
525,453,
526,423,
527,397,
528,346,
529,439,
530,323,
531,402,
532,482,
533,398,
534,551,
535,420,
536,427,
537,414,
538,450,
539,388,
540,444,
541,396,
542,452,
543,400,
544,328,
545,456,
546,419,
547,440,
548,490,
549,343,
550,388,
551,392,
552,464,
553,446,
554,408,
555,451,
556,342,
557,348,
558,436,
559,392,
560,421,
561,403,
562,385,
563,366,
564,389,
565,401,
566,322,
567,363,
568,467,
569,462,
570,505,
571,406,
572,368,
573,369,
574,378,
575,550,
576,355,
577,407,
578,380,
579,488,
580,426,
581,408,
582,590,
583,450,
584,324,
585,407,
586,460,
587,476,
588,316,
589,454,
590,398,
591,366,
592,397,
593,347,
594,311,
595,418,
596,362,
597,383,
598,412,
599,559,
600,370,
601,464,
602,437,
603,506,
604,534,
605,450,
606,356,
607,359,
608,504,
609,406,
610,348,
611,406,
612,391,
613,492,
614,364,
615,436,
616,406,
617,454,
618,321,
619,438,
620,403,
621,366,
622,416,
623,453,
624,413,
625,504,
626,399,
627,390,
628,432,
629,439,
630,416,
631,514,
632,507,
633,470,
634,390,
635,501,
636,464,
637,280,
638,396,
639,422,
640,341,
641,419,
642,431,
643,478,
644,351,
645,350,
646,334,
647,431,
648,390,
649,370,
650,435,
651,523,
652,401,
653,413,
654,433,
655,478,
656,378,
657,442,
658,422,
659,382,
660,426,
661,503,
662,376,
663,470,
664,367,
665,489,
666,421,
667,371,
668,515,
669,403,
670,452,
671,399,
672,445,
673,342,
674,287,
675,373,
676,387,
677,403,
678,433,
679,351,
680,322,
681,418,
682,377,
683,449,
684,415,
685,334,
686,511,
687,451,
688,404,
689,392,
690,311,
691,311,
692,389,
693,496,
694,427,
695,381,
696,443,
697,352,
698,387,
699,468,
700,460,
701,489,
702,430,
703,453,
704,362,
705,313,
706,402,
707,511,
708,552,
709,363,
710,351,
711,454,
712,401,
713,368,
714,433,
715,469,
716,374,
717,339,
718,415,
719,325,
720,312,
721,509,
722,474,
723,386,
724,459,
725,428,
726,447,
727,390,
728,446,
729,336,
730,444,
731,441,
732,495,
733,440,
734,442,
735,318,
736,343,
737,323,
738,498,
739,413,
740,414,
741,464,
742,386,
743,400,
744,331,
745,383,
746,440,
747,485,
748,362,
749,355,
750,446,
751,406,
752,303,
753,448,
754,369,
755,370,
756,388,
757,298,
758,326,
759,480,
760,441,
761,289,
762,412,
763,480,
764,366,
765,495,
766,376,
767,454,
768,409,
769,371,
770,404,
771,415,
772,466,
773,395,
774,421,
775,420,
776,358,
777,357,
778,334,
779,417,
780,349,
781,445,
782,526,
783,387,
784,490,
785,508,
786,301,
787,353,
788,501,
789,430,
790,315,
791,471,
792,390,
793,473,
794,339,
795,356,
796,393,
797,481,
798,407,
799,361,
800,406,
801,435,
802,471,
803,394,
804,438,
805,364,
806,498,
807,441,
808,423,
809,447,
810,422,
811,432,
812,387,
813,437,
814,324,
815,426,
816,355,
817,475,
818,566,
819,373,
820,396,
821,486,
822,413,
823,433,
824,498,
825,312,
826,484,
827,429,
828,436,
829,440,
830,405,
831,457,
832,392,
833,421,
834,336,
835,324,
836,394,
837,486,
838,511,
839,403,
840,348,
841,532,
842,435,
843,398,
844,392,
845,436,
846,503,
847,467,
848,298,
849,430,
850,339,
851,379,
852,492,
